瑴	瑴玉裁成却附离
丫	丫头不是女丫鬟 丫童棋笛唤归牛 丫角童儿骑黑象 丫头岩畔觅诗来 丫头儿子便勤耕 丫髻唐衣八尺长 丫头婢子忙匀粉 丫山道人定初起 丫头不老月长圆 丫头小儿荡画桨
丰	丰年万亿与千斯 丰乐游归夜已深 丰干骑虎入闹市 丰城独卓无余欠 丰年不叹负春耕 丰年无盗伏茆菅 丰年留客足鸡豚 丰戏场中赛锦标 丰狐文豹罪因皮 丰年观稼出神京
丱	丱岁便将为肘腋 丱角相知成白首 丱角指南得天才 丱女童男泣海田 丱角相看笑语长 丱角胸中敌万夫 丱角春明入塾年 丱岁徒闻有壮名 丱角钓游今白发 丱角已探翰墨场
事	事夫誓拟同生死 事亹亹而觊进兮 事如芳草春长在 事绵绵而多私兮 事业权与韩范辈 事大如天醉亦休 事无两样人心别 事业白云閒一身 事言无处未尝无 事事相同古所难
乃	乃知贫贱别更苦 乃翁见事可怜迟 乃翁种德满心田 乃知遭命之将至 乃欲冠剑常催嵬 乃天地之正气也 乃知兵者是凶器 乃出禁军为夫使 乃知造物深相与 乃翁相对玉楼中
九	九衢照影纷纷月 九重彩浪浮龙盖 九重天上闻花气 九日悲秋不到心 九华帐里梦魂惊 九陌游人起暗尘 九重天上闻仙乐 九重城阙烟尘生 九曲黄河万里沙
久	久抛朝帻嬾重弹 久向林间得佳趣 久矣心知负壮图 久贫自笑不妨乐 久矣微官绊此身 久叨物外清闲福 久立香车催欲上 久阴得霁且舒怀 久为钓月卧云身 久阴忧潦霁忧干
么	么诃修哩修修哩 么迂杨柳低迷路 么么入此玻璃盆 么麽安知撼树儿 么麽何从到上方 么凤飞鸣酒初醒 么马。宅须当舍 么麽好敢说诗豪 么凤不传蓬岛信 么凤叫晚吹晴雪
丸	丸药春林坰露初 丸如弹子金炉爇 丸艾时归药婆利 丸剑纷纷想定场 丸中日月妙推移 丸中久矣和乾圜 丸剑跳踯霜雪浮
乏	乏食宁忧陈蔡厄 乏萧生表褚公须 乏力我又代民耕 乏爱不无苧衣赠 乏财原宪贫非病
丹	丹桂五枝年并少 丹禁漏声衢鼓报 丹砂然火弃精神 丹砂浓点柳枝唇 丹林偏许下清都 丹扉翠巘锡灵符 丹杏墙东当日见 丹房无药可烧秋 丹山威凤势将飞
册	册文字字著金书 册府苍凉六幕孤 册府都无未见书 册亭煮汲烧松钗 册号还同虏帐人 册府方羊冠列仙 册府重紬辟蠹香 册府譌文倏校雠 册林从此不牢落 册林未遂鹿麋性
乍	乍晴初试袷罗衣 乍剖金肤藏嫩玉 乍晴池馆燕争泥 乍雨乍晴花自落 乍凉天气未寒时 乍开应笑百花迟 乍试夹衫金缕缝 乍垂罗幕乍飞鸾
丘	丘壑风流总不知 丘山虽寿竟何如 丘何为佞乃栖栖 丘何为是栖栖者 丘冢相望故旧空 丘壑身心麋鹿共 丘壑傥容诗入社 丘壑自成安乐国 丘壑之身心磈磊
乔	乔木故家今有数 乔木苍寒图画古 乔木萧萧梧叶雨 乔木千年长润屋 乔木茂林森耸耸 乔木森森众鸟依 乔松百尺苍髯须 乔木幽谿上下同 乔松定有藏丹处 乔松已作参天色
乖	乖龙藏在牛领中 乖逢逝止那能料 乖违法度受天懲 乖离会合浩莫计 乖违人事七年中 乖仁背义都无耻 乖离不记经几年 乖龙无地著身藏 乖龙嬾睡未渠醒 乖龙老蜃九渊知
书	书寄岭头封不到 书回已是明年事 书得凤笺无限事 书来不用多行数 书窗终日常相顾 书云纪候冰生妍 书无鸿雁如何寄 书生技痒爱论量
一	一弦一柱思华年 一夜飞度镜湖月 一作：也如此) 一曲红绡不知数 一朝选在君王侧 一鞭直渡清河洛 一行白鹭上青天 一自绿窗偷见後 一别姑苏已四年 一别音容两渺茫
