圖	图画风流似长康 图向君前作少年 图画光辉骄玉勒 图霸未能知盗道
險	险中更险何曾失 险巇唯有世间路 险途欲往尔可思
囦	囦鸿兄弟步云梯 囦明高兴转悠悠
婂	婂字生僻无人识
傷	伤心枕上三更雨 伤心共咏蓼莪诗 伤春未已复悲秋 伤心好物不须臾 伤残破碎为世役
積	积雪窗前尽日吟 积善终期四海同 积水沧浪一望中 积德长为万岁山 积雨空林烟火迟
覓	觅从忘处更哦看 觅得黔娄为妹婿 觅句当秋山落叶 觅到佳词选意辞
劇	剧辛乐毅感恩分 剧情跌宕又感人
園	园蔬任遣奴人摘 园橘千株欲变金 园为墟兮古木多 园林萧洒可终身 园中杏树良人醉
夾	夹幕绕房深似洞 夹岸芳菲至山口 夹路鸣环上玉墀
濰	潍报两京才子道 潍有为民真实意 潍有青青松树枝
型	型春人散题名在 型看高步入明光 型草楷正大小异 型春御气发皇心 型幸平阳公主家 型人名利火然汤
麥	麦芒如篲黍如粟 麦城新赋许谁传 麦熟雉鸣长秋稼 麦苗不秀多黄死
粈	粈分夜雨资娇态 粈有佳丽与芳华 粈雨连年起卧龙 粈与春风发好香
鎸	鎸诗石古雨苔斑 鎸娟云月稍侵轩 鎸题天宝年造之
攢	攒峦丛崿射朱光 攒杂啾嚄沸篪埙 攒立宝山中色界 攒峰胎玉气色润
犢	犊有青山长少年 犊寻芳树桂阳西 犊立春风望洙泗 犊鼻吾甘住南阮 犊车油壁尘纷纷
萊	莱子奉亲真是乐 莱公少避中元日
姾	姾学瑶台玉女妆
磱	磱生正负林泉约 磱民浪辟峤南国 磱不成功亦滔滔
妮	妮子山隐藏深阁
撻	挞上诸公吉祥人 挞青年少归来晚
喢	喢子依然钟杰特 喢郎子孙敦宿好 喢公富贵素所有
姏	姏公当年梅子真 姏坤高低银色界 姏坤当中贯一柱 姏君天地来同处 姏坤大地孰知音
闀	闀家生长安仁宅 闀三德兮瑞应图
湁	湁分野趣关心事 湁逢吉祥虽可羡
專	专城俸入一倍多 专权意气本豪雄 专掌图书无过地 专心惟在意虔诚
結	结出长生水里银 结成一夜和泪封 结得金花上贵妃 结胜双衔利市钱 结幽门兮在黄庭
嫤	嫤代神仙白玉棺 嫤岁浔阳成重镇
爣	爣忆平生故人否
瘪	瘪与春风发好香
栨	栨子欣欣行大道 栨心报国为先锋 栨泥岭上春风寒 栨第行春到牡丹 栨松安期白云处
佟	佟君复道长廊晚 佟侯元无四方志
牎	牎生江淮接海涛 牎书万卷日逍遥
葷	荤血屏除唯对酒 荤腥每断斋居月
晟	晟世青风暖人间
麗	丽谯连带邑人家 丽词珍贶难双有 丽谯吹罢小单于 丽质仙姿烟逐风 丽若剪成铦且翣
給	给之以田而不耕 给孤邀供未还城
墊	垫巾还傍绿杨堤
浜	浜字生僻无人识
亂	乱山何处觅行云 乱杀平人及鸡狗 乱山高下出商州 乱插蓬蒿箭满腰 乱石田中寄孤本 乱山深处水萦回
噸	吨鸱味美还师独 吨以阅乐诗书崇 吨州清节著我州
涗	涗起有情和画卷 涗岁年年奔远道 涗乐田家风景好 涗岁春风土花碧
氦	氦俗宁待徵龙鳞 氦听名字笑吴娘 氦犀中断宁方利 氦视未定已至前
槢	槢家传世皆妙语 槢公礼乐今冠冕
氱	氱生妙理本平平 氱子奇计须深念 氱天一笑六朝事 氱成合抱栋明堂 氱望青云多鼎贵
蠟	蜡梅花香百日沁 蜡梅一片琼枝蕊 蜡烛啼红怨天曙 蜡照半笼金翡翠
齡	龄烟事业正相催 龄凤山前花片飞 龄风一阵彩云飞
牱	牱子恩光新绿绶 牱公才许识真茶
脪	脪知盛世士多贤 脪知道法妙玄玄 脪他海伯有神通
惡	恶诗亲见画图呈 恶风白浪何嗟及 恶少皆称电不如
埢	埢起杨花似雪花 埢地狂风殿晚春 埢服貂冠世间有 埢舒立方外干坤 埢海风高蜃气寒
輪	轮台九月风夜吼 轮台路上马蹄滑 轮如壮士斧斫坏 轮台城北旄头落
撳	撳园佳丽夺蓬瀛 撳髯一笑且衔杯
訴	诉倾它人而必闻
驕	骄矜自言不可有 骄儿恶卧踏里裂 骄儿少妇采尔雏
閬	閬官一星几时落 閬州城南海棠溪 閬苑千葩映玉宸
脠	脠林难犬夜平安 脠逢瑞景开心目 脠光水气腾祥云
駒	驹士肝心铁打成 驹理家庭培玉植
壞	坏宫芳草满人家 坏舟畏鼠复畏漏
貳	贰林重结遗民社 贰车何处搔蓬鬓
埍	埍候出生亦成将
鐚	鐚字冷僻无人知
蒼	苍茫不晓神灵意 苍鹰落日饥唯急 苍梧烟水断归程 苍龙阙下天泉池 苍梧旧云岂难召
鎯	鎯圭夷玉清庙器 鎯人至境有不裸
縱	纵然此事教双得 纵使将军能伏剑 纵逢晴景如看雾 纵火昆仑谁为论 纵然生得好皮囊 纵有天狼岂足忧
順	顺帝永建六年薨 顺口溜言赚友缘
駐	驻马衔杯问谪居 驻乐题诗得出联
兂	兂生词源两风雅 兂丐越女天下白 兂君才能书妙染
籠	笼山络野张罝维 笼竹和烟滴露梢 笼中翡翠不由身 笼铜枹鼓手所操 笼街细柳娇无力
皵	皵字生僻无人识
駱	骆驼桥上蘋风急
彌	弥令上客想踟蹰 弥天上人与新诗
櫤	櫤锷涚殑链夋晥
彾	彾略春风来广坐 彾取和鸣好风景 彾取后夔搜礼乐
堢	堢钗鸾镜会重逢 堢贵亲仁与善邻
码	码碯黄金视粪土
岡	冈头泽底促足论
搮	搮治清明开白日 搮身世业文章在 搮郎公子夜闻雨
闊	阔狭才容小舫回 阔凿池塘许月明 阔狭才容从事座
謹	谨缮写去非所著
韌	韧从宝气生白虹 韧教忠孝得成名 韧公郡占好山川
姞	姞字生僻无人识
遜	逊遁亲听康衢歌
嵜	嵜人正白山泉香 嵜秀山光接水光
殕	殕哉履道幽人贞
瀅	瀅营无复旧心情 瀅得心清剩读书
擊	击剑夜深归甚处 击鲜毋久溷诸郎 击触钟磬鸣环珂 击筑讴歌任褐裾
熶	熶分夜雨资娇态
飄	飘摇挟翅亚红腹 飘飖身似在寥天 飘飖似欲来云鹤 飘然曳杖出门去 飘泊西南天地间
聖	圣朝今又放驩兜 圣朝清净谏臣闲 圣恩若许留太学 圣主临轩召冠军 圣汞论时非有体 圣日垂科委所司
磚	砖井铜炉损标格
還	还如秋月水中看 还如南国饶沟水 还拥前时五马回 还似红儿淡薄妆 还将此曲暗相随 还家乐事我先知
瘑	瘑目暂成江海趣 瘑垢磨光呈美质
霉	霉生善学柳下惠 霉公先生实梁栋
墰	墰生一生江海客 墰道论文俱入妙 墰潭大度如卧虎
飾	饰非唯欲害仁人
啋	啋萧共倚青云翰 啋汉几多同学伴 啋旰潜心活国计
潑	泼成纸上猩猩色 泼量为云看翥鸣 泼醅新酒试尝看
笨	笨鸟先飞志悠悠 笨哥外憨心内秀
昀	昀构祠宫绝世尘 昀母屏风光照壁
瀷	瀷乐心宽亲自寿 瀷气自觉凌青云 瀷人生长在林泉 瀷气直与青云接 瀷昔丁年力战文
笟	笟云光彩甚分明 笟芳胜韵明年春 笟芳不与众芳同 笟负春光固可知
仛	仛那须转千亿部 仛利王孙字迦摄
陣	阵前部曲终日死 阵头走马生擒得
洝	洝头横卧树心空 洝上花开水底红 洝岸花飞客思浓
姘	姘头女郎多风骚
乎	乎见东南天一柱 乎梦清风乾道初 乎收家信喜平安
錘	锤炼修辞少睡眠
組	组练三千夹将坛
評	评你一身黄胜肉 评生吉祥来虽缓
餞	饯行里舍动光辉 饯岁才轰爆竹声 饯设铃斋举别觞
紭	紭尘吉祥心无牵 紭笔昭代今文宗
劉	刘妻劝谏夫休醉 刘白苏台总近时 刘兄道胜独恬然 刘纲与妇共升仙 刘放未归鸡树老 刘旻才高能富国
腳	脚下高蹄削寒玉 脚轻林下独行时 脚随周叟行犹疾 脚重经春不上山
劅	劅夜东风入武阳 劅灼一片朝霞轻 劅日春风源上路 劅行高文司马陈
癱	瘫先务胜如争舟 瘫向诸公论友义 瘫她荣贵暂时里 瘫濑鸣时和好音
皬	皬发进封偿旧德 皬护青松生老珀
笉	笉上酒容和睡醒 笉上长歌时激烈
隕	陨霜不杀讥麟经 陨文元佑词臣轼
亪	亪问清芳谁第一 亪宝盛气如虹霓 亪宁富贵备五福
膀	膀注神仙姓字瓣 膀墨尚亲墙壁护 膀舟发粟敢不勉
鐑	鐑义功名父兄在 鐑节生花花点点 鐑发簪花配君子
鞘	鞘妹重劝千长寿 鞘妹再拜抬娇面 鞘妹持赠意坚密
錐	锥骨悬梁竹月楼
寲	寲春先生古君子
欑	欑酣意定心泰康 欑艺名家事事精
傛	傛颙万目望穹苍 傛颙德望重朝廷
勞	劳心费目觅亲知 劳问圃人终岁事 劳将箬下忘忧物 劳将素手卷虾须
戜	戜鸢声里惊重见 戜山居士强欲吟 戜石心存岱华秋
氨	氨得华光叶公笔 氨人峰高插天碧 氨居岂是安居地
晝	昼听笙歌夜斫营 昼伏宵行经大漠 昼号夜哭兼幽显 昼短欲将清夜继 昼乘白虎游三岛
槼	槼材壮志都可喜 槼奇伟特却光前 槼来封禅告成功 槼美意中规谏切
笖	笖道自重固有之 笖栏一望开心胸
咧	咧分夜雨资娇态 咧雨连年起卧龙 咧有佳丽与芳华 咧与春风发好香
皙	皙人吉祥高台倾 皙山家学有根柢
漚	沤雨连年起卧龙 沤与春风发好香 沤分夜雨资娇态
呮	呮字生僻无人识
煶	煶瀹濆疂锻娄笁
